City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Yellowknife,CA,61.32,few clouds,62.456,-114.3525,The Explorer Hotel
1,Khatanga,RU,60.03,moderate rain,71.9667,102.5,"""Khatanga"""
4,Port Alfred,ZA,58.17,broken clouds,-33.5906,26.891,The Halyards Hotel
6,Kaeo,NZ,60.33,few clouds,-35.1,173.7833,Bushido Lodge
8,Cape Town,ZA,59.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Busselton,AU,60.85,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Jamestown,US,62.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Hermanus,ZA,48.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
17,New Norfolk,AU,56.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
19,Bredasdorp,ZA,48.36,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
20,Mataura,NZ,47.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Ancud,CL,48.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
22,Constitucion,CL,49.87,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
25,Karasjok,NO,61.18,overcast clouds,69.4719,25.5112,Karasjok camping AS
27,Chapais,CA,47.98,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
28,East London,ZA,59.94,clear sky,-33.0153,27.9116,Tu Casa
32,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
34,Husavik,IS,53.42,overcast clouds,66.0449,-17.3389,Bjarnabúð
40,Necochea,AR,51.78,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
42,Hobart,AU,57.06,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
43,Bluff,NZ,47.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Hofn,IS,51.46,light rain,64.2539,-15.2082,Hótel Höfn
45,Provideniya,RU,48.36,clear sky,64.3833,-173.3,
46,Longyearbyen,SJ,48.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
48,Port Lincoln,AU,59.38,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
52,Albany,US,61.74,clear sky,42.6001,-73.9662,
57,Luau,AO,60.76,broken clouds,-10.7073,22.2247,Kimbo Hotel
64,Mmabatho,ZA,53.56,light rain,-25.85,25.6333,Mahikeng Guest Apartments
66,Mogadouro,PT,57.74,clear sky,41.3403,-6.7119,Pensão Russo
67,Port Elizabeth,ZA,59.31,clear sky,-33.918,25.5701,39 On Nile Guest House
71,Tarko-Sale,RU,63.99,broken clouds,64.9225,77.785,Yubileynaya
82,Haines Junction,CA,62.55,broken clouds,60.7522,-137.5108,Parkside Inn
83,Chuy,UY,57.94,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Swan Hill,AU,59.18,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
86,Lebu,CL,49.1,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
87,Yar-Sale,RU,60.3,overcast clouds,66.8333,70.8333,Yalemd
89,The Pas,CA,59.02,overcast clouds,53.8251,-101.2541,Wescana Inn
90,Moron,AR,64.98,thunderstorm with light rain,-34.6534,-58.6198,Hotel Morón
101,Moreira Sales,BR,63.73,clear sky,-24.0622,-53.0069,Casa Cristo Rei
102,Lompoc,US,59.14,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
110,Hokitika,NZ,52.41,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
111,Castro,BR,52.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
114,Margate,GB,61.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
121,Yeniseysk,RU,59.68,light rain,58.4497,92.1703,"""Domino"""
123,Severo-Kurilsk,RU,54.77,overcast clouds,50.6789,156.125,Kak Doma
124,Solec Kujawski,PL,59.67,scattered clouds,53.0837,18.2257,MM-Rooms
127,Bilibino,RU,50.79,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
128,Roma,US,61.66,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
130,Tiksi,RU,55.35,broken clouds,71.6872,128.8694,Arktika
131,Rio Grande,BR,59.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
132,Chokurdakh,RU,62.11,scattered clouds,70.6333,147.9167,
139,Thompson,CA,53.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
142,Maarianhamina,AX,58.86,overcast clouds,60.0973,19.9348,Park Alandia Hotel
143,Grindavik,IS,55.35,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
146,Fairbanks,US,59.34,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
147,Shellbrook,CA,52.83,few clouds,53.2168,-106.4011,Shellbrook Hotel
148,Dunedin,NZ,45.59,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
149,Mar Del Plata,AR,53.1,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
150,Kaitangata,NZ,45.46,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
153,Olafsvik,IS,52.79,light rain,64.8945,-23.7142,Hotel Olafsvik
156,Tuatapere,NZ,45.32,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
157,Rocha,UY,60.64,broken clouds,-34.4833,-54.3333,Hotel Arrarte
160,Norman Wells,CA,57.24,few clouds,65.282,-126.8329,Heritage Hotel
161,Cidreira,BR,60.35,few clouds,-30.1811,-50.2056,Hotel Castelo
167,La Sarre,CA,58.15,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
179,Beringovskiy,RU,47.53,light rain,63.05,179.3167,
180,Waitati,NZ,45.46,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
181,Sioux Lookout,CA,60.87,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
182,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
183,Stornoway,GB,51.93,broken clouds,58.2093,-6.3865,Caladh Inn
184,Pacifica,US,62.71,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
197,Vandoeuvre-Les-Nancy,FR,62.28,broken clouds,48.65,6.1833,La Residence
201,Codrington,AU,56.32,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
207,Sitka,US,60.69,broken clouds,57.0531,-135.33,Westmark Sitka
208,Haileybury,CA,61.38,overcast clouds,47.449,-79.6373,Haileybury Beach Motel
212,Narsaq,GL,50.22,scattered clouds,60.9167,-46.05,Sleep In Narsaq
213,Zyryanka,RU,63.55,scattered clouds,65.75,150.85,
214,Port Macquarie,AU,63.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
216,Markova,UA,58.73,overcast clouds,48.6758,24.4138,Vas.VOM
218,Raudeberg,NO,48.96,broken clouds,61.9875,5.1352,Nordre Silda.
224,Ayan,RU,60.78,broken clouds,56.45,138.1667,Gostinitsa
226,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
231,Deputatskiy,RU,63.36,broken clouds,69.3,139.9,Baza Otdykha
233,Paita,PE,63.39,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
240,Kindberg,AT,64.15,overcast clouds,47.5,15.45,Pension Ehrenfried - Hotel Garni
242,Kodiak,US,51.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn
250,Mount Gambier,AU,56.3,overcast clouds,-37.8333,140.7667,The Commodore
251,Torquay,GB,53.58,broken clouds,50.4638,-3.5143,The Grand Hotel
256,Broken Hill,AU,58.42,broken clouds,-31.95,141.4333,Royal Exchange Hotel
259,Baykalsk,RU,63.09,overcast clouds,51.5058,104.1469,"Otel' ""Mel'nitsa"""
261,Abbeville,FR,58.5,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
262,Havre-Saint-Pierre,CA,53.96,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
264,Jatai,BR,63.55,clear sky,-17.8814,-51.7144,Hotel Califórnia
265,Fortuna,US,57.34,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Mehamn,NO,55.31,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
277,La Ronge,CA,59.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
281,Esperance,AU,60.69,overcast clouds,-33.8667,121.9,Hospitality Esperance
288,Campos Altos,BR,53.56,clear sky,-19.6961,-46.1714,Hotel São José
289,Cholet,FR,58.24,few clouds,47.1667,-1.0,Chateau De La Moriniere
291,Muravlenko,RU,60.46,few clouds,63.7898,74.523,Hostel Rus Muravlenko
292,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Hotel San Juan
293,Cherskiy,RU,52.14,few clouds,68.75,161.3,Gostinitsa
296,Deer Lake,CA,51.66,clear sky,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
308,Hastings,GB,62.78,overcast clouds,50.8552,0.5729,Zanzibar Hotel
310,Sinop,TR,63.03,light rain,41.7711,34.8709,
315,Huarmey,PE,62.04,broken clouds,-10.0681,-78.1522,Hotel Miramar
319,Ahipara,NZ,57.25,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
320,Chadiza,ZM,56.82,overcast clouds,-14.0678,32.4392,Sankhani Guest House
324,Vaxjo,SE,53.65,overcast clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
328,Vredendal,ZA,56.66,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
332,Pangody,RU,57.22,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
333,Illapel,CL,50.77,scattered clouds,-31.6308,-71.1653,Hotel Londres
334,Velke Karlovice,CZ,57.24,broken clouds,49.3606,18.2836,Resort Kyčerka Velké Karlovice
335,North Bend,US,58.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
337,Aksha,RU,55.98,light rain,50.2814,113.2867,Vizit
346,Viseu,PT,55.09,clear sky,40.661,-7.9097,Montebelo Viseu Congress Hotel
348,Rochester,US,64.62,few clouds,43.1548,-77.6156,Hyatt Regency Rochester
352,Verkhnyaya Inta,RU,64.45,scattered clouds,65.9811,60.3094,
354,San Ramon,US,64.42,clear sky,37.7799,-121.978,San Ramon Marriott
356,Hagere Hiywet,ET,57.22,moderate rain,8.9833,37.85,Hot Springs Resort
358,Muros,ES,61.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
359,Anadyr,RU,46.9,light intensity drizzle rain,64.75,177.4833,Отке17.ру — жильё для командированных
365,Inhambane,MZ,55.38,few clouds,-23.865,35.3833,Oceano
368,Kodinsk,RU,63.39,overcast clouds,58.6881,99.1844,
371,Menongue,AO,52.75,clear sky,-14.6585,17.691,Ritz Lauca
373,Foz,ES,62.38,overcast clouds,43.5692,-7.2544,Hotel Balcón de San Bartolo
374,Sechura,PE,63.18,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
383,Lac Du Bonnet,CA,53.02,broken clouds,50.2536,-96.0612,Drifter's Inn
385,Vestmannaeyjar,IS,53.47,overcast clouds,63.4427,-20.2734,Glamping & Camping
386,Mildura,AU,58.06,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
389,Kiama,AU,64.45,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
391,Karymskoye,RU,60.78,overcast clouds,51.6167,114.35,"Gostinitsa ""Oazis"""
397,Bernau,DE,59.7,scattered clouds,52.6798,13.5871,Hotel zur Panke Restaurant und Bowling
398,Tromso,NO,52.38,light intensity shower rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
400,Berlevag,NO,62.4,overcast clouds,70.8578,29.0864,Kvitbrakka
401,Whangarei,NZ,53.28,clear sky,-35.7317,174.3239,Bella Vista Motel Whangarei
412,Rorvik,NO,51.91,broken clouds,64.8621,11.2373,Kysthotellet Rørvik AS
416,Okhotsk,RU,64.49,scattered clouds,59.3833,143.3,
419,Penzance,GB,50.68,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
423,Hervey Bay,AU,64.06,clear sky,-25.2986,152.8535,Shelly Bay Resort
429,Port Hawkesbury,CA,63.88,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
430,Klaksvik,FO,52.72,light rain,62.2266,-6.589,Airbnb rooms
447,Ventspils,LV,60.73,overcast clouds,57.3894,21.5606,Jūras brīze
453,Hillsborough,US,63.19,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
456,Kleive,NO,50.32,broken clouds,62.7954,7.6359,Bytengens ferieoase
462,Ituango,CO,60.37,broken clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
466,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
472,Stawell,AU,54.1,overcast clouds,-37.05,142.7667,Motel Stawell
478,Kruisfontein,ZA,52.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
493,Durban,ZA,57.02,clear sky,-29.8579,31.0292,Hilton Durban
500,Meaford,CA,59.25,few clouds,44.6001,-80.583,Meaford Memorial Park
508,Wonthaggi,AU,55.81,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
511,Launceston,AU,56.34,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
515,Port Hardy,CA,62.78,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
519,Nakonde,ZM,59.95,scattered clouds,-9.3421,32.745,Masahani Inn Hotel
523,Aksarka,RU,62.62,scattered clouds,66.5606,67.7975,
528,Chiredzi,ZW,61.34,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
529,Gwanda,ZW,57.45,clear sky,-20.9333,29.0,Mafax Homeways
536,Kenai,US,57.29,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
537,Srednekolymsk,RU,59.02,scattered clouds,67.45,153.6833,
549,Palana,RU,51.84,overcast clouds,59.1167,159.9667,Chikago
555,Minas,UY,63.01,broken clouds,-34.3759,-55.2377,Hotel Minas
562,Saint Stephen,GB,57.47,scattered clouds,50.3333,-4.9,4 stepaside corner
566,Senanga,ZM,54.3,clear sky,-16.1167,23.2667,Zango lodge
567,Kosa,RU,64.35,broken clouds,59.9445,54.9977,Gostinitsa V Kose
569,Wageningen,NL,58.86,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
573,Santona,ES,63.59,overcast clouds,43.4439,-3.4576,Playamar
579,Manutuke,NZ,56.82,broken clouds,-38.6833,177.9167,Jolly Stockman Hotel
584,Goderich,CA,62.91,few clouds,43.7501,-81.7165,Harmony Inn
587,Collie,AU,61.81,overcast clouds,-33.3667,116.15,Collie Ridge
588,Acari,PE,61.99,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
594,Seddon,AU,61.09,broken clouds,-37.8068,144.8916,Footscray Motor Inn
598,Itambacuri,BR,60.1,few clouds,-18.0311,-41.685,Pousada Bela
600,Tazovskiy,RU,54.79,scattered clouds,67.4667,78.7,TazHostel
601,Aklavik,CA,58.26,overcast clouds,68.2191,-135.0107,Aklavik Inn
602,Gallup,US,64.24,overcast clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
608,Imbituba,BR,62.1,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
611,Severo-Yeniseyskiy,RU,53.08,light rain,60.3725,93.0408,Aktolik
614,Knysna,ZA,57.06,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
631,Vardo,NO,62.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
633,Quthing,LS,50.43,scattered clouds,-30.4,27.7003,Mountainside Hotel
634,Antanifotsy,MG,57.22,broken clouds,-19.65,47.3167,Ilempona
635,Bayonne,FR,63.16,clear sky,43.3333,-1.4167,Hotel Residence Bellevue
642,Lata,PT,55.09,few clouds,40.1629,-8.3327,Casa Maquia
645,Vila,PT,50.88,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
650,Egvekinot,RU,45.39,overcast clouds,66.3167,-179.1667,
652,Ogulin,HR,61.61,overcast clouds,45.2661,15.2286,Hotel Frankopan
657,Aurich,DE,57.94,scattered clouds,53.4667,7.4833,Ringhotel Köhlers Forsthaus
659,College,US,59.32,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
665,Chilca,PE,59.76,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
670,Buenos Aires,AR,64.98,light rain,-34.6132,-58.3772,Hotel NH Buenos Aires City
672,Hualmay,PE,60.96,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
