City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
222,Nicoya,CR,10.1483,-85.452,73.33,95,100,1.97,overcast clouds
223,Vila Velha,BR,-20.3297,-40.2925,66.94,96,20,2.3,few clouds
224,Ayan,RU,56.45,138.1667,60.78,81,72,14.0,broken clouds
225,Miles City,US,46.4083,-105.8406,72.57,43,100,3.44,overcast clouds
226,Antofagasta,CL,-23.65,-70.4,56.48,80,78,4.61,broken clouds
227,Sola,VU,-13.8833,167.55,80.87,75,48,13.04,light rain
228,Cedar Lake,US,41.3648,-87.4411,70.02,91,98,3.62,overcast clouds
229,Sao Filipe,CV,14.8961,-24.4956,77.04,84,62,2.39,broken clouds
230,Sochi,RU,43.6,39.7303,69.89,80,2,6.51,clear sky
231,Deputatskiy,RU,69.3,139.9,63.36,43,72,13.15,broken clouds
232,Kloulklubed,PW,7.0419,134.2556,79.3,71,57,6.4,broken clouds
233,Paita,PE,-5.0892,-81.1144,63.39,85,100,12.64,overcast clouds
234,Vung Tau,VN,10.346,107.0843,81.77,76,99,8.3,overcast clouds
235,Yalta,UA,44.5,34.1667,77.74,52,0,1.57,clear sky
236,Yurimaguas,PE,-5.9,-76.0833,68.54,99,91,1.21,overcast clouds
237,Cap Malheureux,MU,-19.9842,57.6142,74.46,66,4,8.99,clear sky
238,Faanui,PF,-16.4833,-151.75,78.3,73,23,7.94,light rain
239,Takoradi,GH,4.8845,-1.7554,74.7,89,92,9.6,light rain
240,Kindberg,AT,47.5,15.45,64.15,78,100,0.76,overcast clouds
241,Lugazi,UG,0.3772,32.9197,75.61,55,96,2.95,overcast clouds
242,Kodiak,US,57.79,-152.4072,51.31,76,0,3.44,clear sky
243,Sangar,RU,63.9242,127.4739,82.42,45,25,3.22,scattered clouds
244,Pitimbu,BR,-7.4706,-34.8086,72.19,83,38,10.13,scattered clouds
245,Vilyuysk,RU,63.7553,121.6247,89.22,42,6,8.88,clear sky
246,Bambanglipuro,ID,-7.95,110.2833,82.83,69,93,13.44,overcast clouds
247,Paamiut,GL,61.994,-49.6678,42.26,90,59,11.16,broken clouds
248,Portland,US,45.5234,-122.6762,85.98,58,0,6.91,clear sky
249,Harper,LR,4.375,-7.7169,74.79,84,99,9.08,light rain
250,Mount Gambier,AU,-37.8333,140.7667,56.3,74,90,12.1,overcast clouds
251,Torquay,GB,50.4638,-3.5143,53.58,89,81,1.99,broken clouds
252,Rundu,NA,-17.9333,19.7667,54.5,45,45,6.76,scattered clouds
253,Meadow Lake,US,34.8014,-106.5436,75.13,56,79,3.24,broken clouds
254,Mangrol,IN,21.1167,70.1167,84.74,71,96,9.91,overcast clouds
255,Scottsbluff,US,41.8666,-103.6672,67.32,66,0,6.91,clear sky
256,Broken Hill,AU,-31.95,141.4333,58.42,37,68,9.22,broken clouds
257,Mahajanga,MG,-15.7167,46.3167,73.42,60,0,6.91,clear sky
258,San Cristobal,VE,7.7669,-72.225,69.98,96,98,2.24,overcast clouds
259,Baykalsk,RU,51.5058,104.1469,63.09,57,100,2.66,overcast clouds
260,Ajdabiya,LY,30.7554,20.2263,80.74,64,0,7.11,clear sky
261,Abbeville,FR,50.1,1.8333,58.5,69,93,7.43,overcast clouds
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,94,100,4.61,overcast clouds
263,Yulara,AU,-25.2406,130.9889,65.79,18,0,10.89,clear sky
264,Jatai,BR,-17.8814,-51.7144,63.55,42,0,4.23,clear sky
265,Fortuna,US,40.5982,-124.1573,57.34,89,32,0.47,scattered clouds
266,Leningradskiy,RU,69.3833,178.4167,35.94,93,100,3.83,overcast clouds
267,Tazmalt,DZ,36.3868,4.3989,81.99,36,3,3.76,clear sky
268,Usinsk,RU,65.9939,57.5281,66.79,49,24,7.85,few clouds
269,Ostrovnoy,RU,68.0531,39.5131,66.34,74,98,20.15,overcast clouds
270,Salvador,SV,13.8333,-88.9167,72.0,98,78,0.81,light rain
271,Tuy Hoa,VN,13.0833,109.3,90.1,58,85,9.75,overcast clouds
272,Mehamn,NO,71.0357,27.8492,55.31,100,100,5.75,light rain
273,Mormugao,IN,15.4,73.8,79.86,89,75,5.75,broken clouds
274,Nioro,GM,13.35,-15.75,75.52,94,95,6.76,overcast clouds
275,Caravelas,BR,-17.7125,-39.2481,69.53,80,4,6.6,clear sky
276,Guerrero Negro,MX,27.9769,-114.0611,68.76,82,4,8.46,clear sky
277,La Ronge,CA,55.1001,-105.2842,59.25,72,75,4.61,broken clouds
278,Nshamba,TZ,-1.7983,31.5511,70.23,47,82,10.76,broken clouds
279,Qaanaaq,GL,77.484,-69.3632,38.23,69,63,1.01,broken clouds
280,Saint-Joseph,RE,-21.3667,55.6167,74.21,77,26,8.5,scattered clouds
281,Esperance,AU,-33.8667,121.9,60.69,70,99,7.47,overcast clouds
282,Sarkand,KZ,45.41,79.9186,93.38,11,1,9.08,clear sky
283,Gamut,PH,8.5303,126.2422,88.0,62,87,5.97,overcast clouds
284,Tomatlan,MX,19.9333,-105.25,75.97,85,100,3.76,overcast clouds
285,Tiznit,MA,29.5833,-9.5,79.18,34,0,1.43,clear sky
286,Lashio,MM,22.9333,97.75,83.77,59,100,3.65,overcast clouds
287,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,20,5.75,few clouds
288,Campos Altos,BR,-19.6961,-46.1714,53.56,69,0,1.23,clear sky
289,Cholet,FR,47.1667,-1.0,58.24,68,12,6.08,few clouds
290,Konstantinovka,RU,49.6167,127.9833,87.28,51,80,3.53,moderate rain
291,Muravlenko,RU,63.7898,74.523,60.46,59,11,14.99,few clouds
292,Coquimbo,CL,-29.9533,-71.3436,51.53,100,0,6.91,clear sky
293,Cherskiy,RU,68.75,161.3,52.14,49,22,12.93,few clouds
294,Naliya,IN,23.2667,68.8333,86.63,65,56,14.25,broken clouds
295,Curaca,BR,-8.9903,-39.9094,70.03,77,100,15.35,overcast clouds
296,Deer Lake,CA,49.1667,-57.4316,51.66,100,0,0.0,clear sky
297,Sladkovo,RU,55.5284,70.3385,72.77,74,100,11.39,overcast clouds
298,Glendive,US,47.1053,-104.7125,65.48,65,75,5.75,broken clouds
299,Sandwich,US,41.6459,-88.6217,69.37,94,0,0.0,clear sky
300,Socorro,US,31.6546,-106.3033,85.19,43,75,6.91,broken clouds
301,Vancouver,CA,49.2497,-123.1193,81.55,68,20,4.61,few clouds
302,Bethel,US,41.3712,-73.414,66.49,85,0,3.44,clear sky
303,Odienne,CI,9.51,-7.5692,69.03,98,100,3.06,overcast clouds
304,Whitehorse,CA,60.7161,-135.0538,70.57,26,75,3.44,broken clouds
305,Saint Anthony,US,45.0205,-93.218,67.14,91,0,9.22,clear sky
306,Sobolevo,RU,54.4299,31.8996,68.76,78,50,4.68,scattered clouds
307,Hays,US,30.0502,-98.0336,84.15,66,33,5.01,scattered clouds
308,Hastings,GB,50.8552,0.5729,62.78,99,99,8.93,overcast clouds
309,Marawi,PH,7.9986,124.2928,78.12,83,58,1.32,broken clouds
310,Sinop,TR,41.7711,34.8709,63.03,42,0,1.79,light rain
311,Dawlatabad,AF,36.4141,64.9053,98.47,18,0,7.94,clear sky
312,Puertollano,ES,38.6871,-4.1073,73.08,44,0,2.89,clear sky
313,Umirim,BR,-3.6772,-39.3503,70.11,90,89,2.42,overcast clouds
314,Gamba,GA,-2.65,10.0,68.59,92,46,4.52,scattered clouds
315,Huarmey,PE,-10.0681,-78.1522,62.04,87,73,9.75,broken clouds
316,Makakilo City,US,21.3469,-158.0858,79.12,64,100,18.41,overcast clouds
317,Tevriz,RU,57.509,72.4042,75.92,64,97,5.95,overcast clouds
318,Dzaoudzi,YT,-12.7887,45.2699,78.69,73,75,11.5,broken clouds
319,Ahipara,NZ,-35.1667,173.1667,57.25,88,33,9.55,scattered clouds
320,Chadiza,ZM,-14.0678,32.4392,56.82,81,95,6.53,overcast clouds
321,Beaupre,CA,47.0443,-70.8953,67.89,100,44,2.3,scattered clouds
322,Verkhoyansk,RU,67.5447,133.385,82.04,40,94,5.12,overcast clouds
323,Monterey,US,36.2505,-121.2516,69.17,1,0,4.65,clear sky
324,Vaxjo,SE,56.8777,14.8091,53.65,94,100,6.91,overcast clouds
325,Singen,DE,47.7594,8.8403,66.58,68,25,1.95,scattered clouds
326,Fremont,US,37.5483,-121.9886,65.98,82,20,11.5,few clouds
327,Tual,ID,-5.6667,132.75,79.57,78,60,18.52,broken clouds
328,Vredendal,ZA,-31.6683,18.5012,56.66,73,98,1.92,overcast clouds
329,San Patricio,US,28.017,-97.5169,84.88,79,78,12.48,broken clouds
330,Clyde River,CA,70.4692,-68.5914,39.43,100,100,3.44,light rain
331,Dezhou,CN,37.4486,116.2925,91.6,46,4,6.08,clear sky
332,Pangody,RU,65.85,74.4859,57.22,66,90,7.96,overcast clouds
333,Illapel,CL,-31.6308,-71.1653,50.77,87,41,0.65,scattered clouds
334,Velke Karlovice,CZ,49.3606,18.2836,57.24,68,55,2.42,broken clouds
335,North Bend,US,43.4065,-124.2243,58.91,95,0,4.61,clear sky
336,Syamzha,RU,60.0158,41.0614,72.91,69,20,7.38,few clouds
337,Aksha,RU,50.2814,113.2867,55.98,96,100,10.4,light rain
338,Cururupu,BR,-1.8283,-44.8683,73.15,92,62,3.49,broken clouds
339,Gizo,SB,-8.103,156.8419,83.43,70,84,2.42,light rain
340,Malatya,TR,38.5,38.0,73.45,27,0,6.91,clear sky
341,Atyrau,KZ,47.1167,51.8833,82.42,57,0,4.47,clear sky
342,Aleksandrov Gay,RU,50.147,48.5704,81.43,43,51,5.68,broken clouds
343,Nyurba,RU,63.2842,118.3319,91.27,41,6,8.19,clear sky
344,Hami,CN,42.8,93.45,97.88,8,0,10.6,clear sky
345,Buchanan,LR,5.8808,-10.0467,74.73,87,97,7.38,light rain
346,Viseu,PT,40.661,-7.9097,55.09,75,0,2.17,clear sky
347,Port-Gentil,GA,-0.7193,8.7815,73.36,88,75,5.75,broken clouds
348,Rochester,US,43.1548,-77.6156,64.62,89,20,0.0,few clouds
349,Garachine,PA,8.0647,-78.3628,77.36,85,94,1.83,overcast clouds
350,Jojoima,SL,7.8792,-10.7878,70.68,98,100,2.66,overcast clouds
351,Port Hedland,AU,-20.3167,118.5667,89.65,15,1,17.27,clear sky
352,Verkhnyaya Inta,RU,65.9811,60.3094,64.45,53,38,10.31,scattered clouds
353,Labuhan,ID,-6.8844,112.2051,87.69,53,15,6.42,few clouds
354,San Ramon,US,37.7799,-121.978,64.42,81,0,12.66,clear sky
355,Daru,PG,-9.0763,143.2092,77.07,85,89,15.05,overcast clouds
356,Hagere Hiywet,ET,8.9833,37.85,57.22,96,100,1.16,moderate rain
357,Qui Nhon,VN,13.7667,109.2333,87.04,64,50,11.79,scattered clouds
358,Muros,ES,42.7762,-9.0603,61.09,85,1,9.37,clear sky
359,Anadyr,RU,64.75,177.4833,46.9,87,75,11.18,light intensity drizzle rain
360,Macas,EC,-2.3167,-78.1167,65.37,98,100,2.98,light rain
361,Oyama,JP,36.3,139.8,94.59,50,99,3.8,overcast clouds
362,Gallipoli,TR,40.4103,26.6708,67.86,46,0,10.56,clear sky
363,Nianzishan,CN,47.5167,122.8833,86.0,58,100,10.22,overcast clouds
364,Chumphon,TH,10.3333,98.8333,82.29,74,82,3.91,broken clouds
365,Inhambane,MZ,-23.865,35.3833,55.38,82,20,3.44,few clouds
366,San Nicolas,PH,18.1725,120.5953,89.51,66,75,8.05,broken clouds
367,Ballina,AU,-28.8667,153.5667,67.01,40,0,2.57,clear sky
368,Kodinsk,RU,58.6881,99.1844,63.39,79,100,9.51,overcast clouds
369,Gucheng,CN,35.9115,111.3192,75.87,84,100,4.12,overcast clouds
370,Hambantota,LK,6.1241,81.1185,86.34,79,20,3.44,few clouds
371,Menongue,AO,-14.6585,17.691,52.75,46,1,6.6,clear sky
372,Kushiro,JP,42.975,144.3747,77.95,83,75,10.36,fog
373,Foz,ES,43.5692,-7.2544,62.38,90,99,4.83,overcast clouds
374,Sechura,PE,-5.5569,-80.8222,63.18,83,100,12.21,overcast clouds
375,Moranbah,AU,-22.0016,148.0466,68.97,32,0,13.4,clear sky
376,Balabac,PH,7.9868,117.0645,85.32,69,61,7.63,broken clouds
377,Bilma,NE,18.6853,12.9164,88.95,12,44,3.69,scattered clouds
378,Morehead,US,37.2711,-87.1764,75.78,92,0,3.44,clear sky
379,Langarud,IR,37.197,50.1535,77.05,84,100,2.95,overcast clouds
380,Khandyga,RU,62.6667,135.6,83.41,42,54,4.7,broken clouds
381,Camopi,GF,3.1655,-52.3158,71.31,99,99,1.21,overcast clouds
382,Kargasok,RU,59.0556,80.8572,77.95,67,37,5.32,light rain
383,Lac Du Bonnet,CA,50.2536,-96.0612,53.02,97,76,5.73,broken clouds
384,Orchard Homes,US,46.8633,-114.0484,77.14,52,20,5.75,few clouds
385,Vestmannaeyjar,IS,63.4427,-20.2734,53.47,98,100,19.22,overcast clouds
386,Mildura,AU,-34.2,142.15,58.06,60,100,13.62,overcast clouds
387,Nizhniy Odes,RU,63.6445,54.856,69.33,38,79,3.22,broken clouds
388,Melito Di Porto Salvo,IT,37.9222,15.7714,83.73,65,0,9.22,clear sky
389,Kiama,AU,-34.6833,150.8667,64.45,61,7,11.86,clear sky
390,Kargil,IN,34.5667,76.1,69.4,42,37,1.77,scattered clouds
391,Karymskoye,RU,51.6167,114.35,60.78,93,99,9.22,overcast clouds
392,Saraland,US,30.8207,-88.0706,80.24,88,23,3.65,few clouds
393,Fort Nelson,CA,58.8053,-122.7002,67.59,77,75,3.44,broken clouds
394,Bayir,TR,37.2687,28.2167,73.92,24,0,3.62,clear sky
395,Shache,CN,38.4167,77.2406,103.06,10,22,4.16,few clouds
396,Asau,RO,46.4333,26.4,70.29,50,47,1.68,scattered clouds
397,Bernau,DE,52.6798,13.5871,59.7,63,49,7.96,scattered clouds
398,Tromso,NO,69.6496,18.957,52.38,93,75,13.8,light intensity shower rain
399,Mangan,IN,27.5167,88.5333,79.57,86,100,2.68,overcast clouds
400,Berlevag,NO,70.8578,29.0864,62.4,100,100,0.0,overcast clouds
401,Whangarei,NZ,-35.7317,174.3239,53.28,89,3,3.76,clear sky
402,Dauriya,RU,49.9333,116.8667,81.14,35,14,20.11,few clouds
403,Tessalit,ML,20.1986,1.0114,91.11,17,5,13.06,clear sky
404,Kokopo,PG,-4.352,152.2633,85.19,57,16,7.54,few clouds
405,Noumea,NC,-22.2763,166.4572,76.98,67,0,4.27,clear sky
406,Shubarshi,KZ,48.5872,57.1869,82.36,33,6,15.01,clear sky
407,Worland,US,44.0169,-107.9554,72.88,48,0,4.61,clear sky
408,Ankang,CN,32.68,109.0172,85.59,64,100,3.44,overcast clouds
409,Walvis Bay,NA,-22.9575,14.5053,52.99,74,13,5.95,few clouds
410,Upata,VE,8.0086,-62.3989,75.2,96,23,3.31,few clouds
411,Leshukonskoye,RU,64.8989,45.7622,72.86,49,35,8.3,scattered clouds
412,Rorvik,NO,64.8621,11.2373,51.91,76,75,12.66,broken clouds
413,Pinotepa Nacional,MX,16.3167,-98.0167,73.49,94,100,3.27,overcast clouds
414,Yaan,NG,7.3833,8.5667,71.69,97,100,5.14,overcast clouds
415,Chopovychi,UA,50.8332,28.9533,70.25,55,100,5.46,overcast clouds
416,Okhotsk,RU,59.3833,143.3,64.49,76,27,8.41,scattered clouds
417,Maningrida,AU,-12.0667,134.2667,83.46,48,10,12.71,clear sky
418,Dwarka,IN,22.2394,68.9678,85.08,72,87,13.24,overcast clouds
419,Penzance,GB,50.1186,-5.5371,50.68,72,100,5.35,overcast clouds
420,Kijang,KR,35.2442,129.2139,85.73,78,58,11.74,broken clouds
421,Pucallpa,PE,-8.3791,-74.5539,71.98,94,39,1.66,scattered clouds
422,Nouadhibou,MR,20.931,-17.0347,76.98,83,5,6.91,clear sky
423,Hervey Bay,AU,-25.2986,152.8535,64.06,46,0,16.84,clear sky
424,Baruun-Urt,MN,46.6806,113.2792,78.93,28,2,18.75,clear sky
425,Linqiong,CN,30.4159,103.4609,78.62,71,11,8.86,light rain
426,Mingoyo,TZ,-10.1,39.6333,76.55,62,18,9.46,few clouds
427,Agua Buena,PA,7.8167,-80.4,78.76,99,72,1.74,broken clouds
428,Imari,JP,33.2667,129.8833,92.95,56,1,6.89,clear sky
429,Port Hawkesbury,CA,45.6169,-61.3485,63.88,95,40,3.44,scattered clouds
430,Klaksvik,FO,62.2266,-6.589,52.72,95,100,11.01,light rain
431,Jibuti,DJ,11.5,42.5,85.05,46,77,16.87,broken clouds
432,Mandera,KE,3.9366,41.867,78.71,53,28,18.79,scattered clouds
433,Shakhunya,RU,57.6758,46.6114,70.41,53,43,6.71,scattered clouds
434,Inirida,CO,3.8653,-67.9239,72.7,98,100,1.01,overcast clouds
435,Hayden,US,47.766,-116.7866,77.56,62,0,5.75,clear sky
436,Gat,IL,31.61,34.7642,87.4,30,0,1.88,clear sky
437,Upernavik,GL,72.7868,-56.1549,38.12,84,95,5.66,overcast clouds
438,Prince Rupert,CA,54.3161,-130.3201,65.89,94,0,9.22,clear sky
439,Pokaran,IN,26.9167,71.9167,83.25,74,96,12.46,very heavy rain
440,Bay Roberts,CA,47.5999,-53.2648,67.75,95,99,5.99,overcast clouds
441,Mareeba,AU,-17.0,145.4333,77.43,50,1,7.85,clear sky
442,Saryg-Sep,RU,51.5,95.6,68.94,37,81,8.46,light rain
443,Bathsheba,BB,13.2167,-59.5167,81.21,87,20,12.66,few clouds
444,Suleja,NG,9.1758,7.1808,71.01,95,100,2.91,overcast clouds
445,Mana,GF,5.6592,-53.7767,77.09,86,18,4.65,few clouds
446,Ligayan,PH,4.6533,119.4706,83.61,69,100,1.79,light rain
